"소재지(시군구)별(1)",소재지(시군구)별(2),2010,2010,2010,2010,2010,2010,2010,2010
"소재지(시군구)별(1)",소재지(시군구)별(2),계,계,운동장,운동장,골프장(9홀이상),골프장(9홀이상),스키장,스키장
"소재지(시군구)별(1)",소재지(시군구)별(2),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"전국",소계,843,391965170,484,42341485,355,347048102,4,2575583
"서울특별시",소계,35,1205597,35,1205597,0,0,0,0
"서울특별시",중구,1,2829,1,2829,0,0,0,0
"서울특별시",용산구,1,1342,1,1342,0,0,0,0
"서울특별시",성동구,2,126548,2,126548,0,0,0,0
"서울특별시",광진구,5,132682,5,132682,0,0,0,0
"서울특별시",중랑구,3,12439,3,12439,0,0,0,0
"서울특별시",성북구,1,111553,1,111553,0,0,0,0
"서울특별시",도봉구,2,70883,2,70883,0,0,0,0
"서울특별시",노원구,3,9171,3,9171,0,0,0,0
"서울특별시",마포구,2,508593,2,508593,0,0,0,0
"서울특별시",양천구,2,30676,2,30676,0,0,0,0
"서울특별시",강서구,1,29098,1,29098,0,0,0,0
"서울특별시",구로구,3,119264,3,119264,0,0,0,0
"서울특별시",금천구,1,17043,1,17043,0,0,0,0
"서울특별시",영등포구,1,3320,1,3320,0,0,0,0
"서울특별시",서초구,1,2069,1,2069,0,0,0,0
"서울특별시",강남구,2,13816,2,13816,0,0,0,0
"서울특별시",송파구,1,1226,1,1226,0,0,0,0
"서울특별시",강동구,3,13045,3,13045,0,0,0,0
"부산광역시",소계,21,8173028,13,881115,8,7291913,0,0
"부산광역시",부산광역시,8,7291913,0,0,8,7291913,0,0
"부산광역시",동구,1,2167,1,2167,0,0,0,0
"부산광역시",해운대구,2,248098,2,248098,0,0,0,0
"부산광역시",사하구,2,12228,2,12228,0,0,0,0
"부산광역시",금정구,1,5694,1,5694,0,0,0,0
"부산광역시",강서구,2,484759,2,484759,0,0,0,0
"부산광역시",기장군,5,128169,5,128169,0,0,0,0
"대구광역시",소계,7,342216,7,342216,0,0,0,0
"대구광역시",달서구,2,51282,2,51282,0,0,0,0
"대구광역시",달성군,5,290934,5,290934,0,0,0,0
"인천광역시",소계,9,1475250,6,294709,3,1180541,0,0
"인천광역시",인천광역시,1,33813,1,33813,0,0,0,0
"인천광역시",동구,1,31461,1,31461,0,0,0,0
"인천광역시",연수구,1,26730,1,26730,0,0,0,0
"인천광역시",계양구,2,729966,1,12966,1,717000,0,0
"인천광역시",서구,4,653280,2,189739,2,463541,0,0
"광주광역시",소계,9,617745,8,405395,1,212350,0,0
"광주광역시",광주광역시,2,540692,1,328342,1,212350,0,0
"광주광역시",동구,2,20559,2,20559,0,0,0,0
"광주광역시",서구,1,1767,1,1767,0,0,0,0
"광주광역시",북구,1,7662,1,7662,0,0,0,0
"광주광역시",광산구,3,47065,3,47065,0,0,0,0
"대전광역시",소계,10,1199410,7,165446,3,1033964,0,0
"대전광역시",동구,2,3594,2,3594,0,0,0,0
"대전광역시",유성구,7,1153050,4,119086,3,1033964,0,0
"대전광역시",대덕구,1,42766,1,42766,0,0,0,0
"울산광역시",소계,28,6399179,21,588164,7,5811015,0,0
"울산광역시",울산광역시,7,5811015,0,0,7,5811015,0,0
"울산광역시",중구,4,152601,4,152601,0,0,0,0
"울산광역시",남구,2,23810,2,23810,0,0,0,0
"울산광역시",북구,3,67119,3,67119,0,0,0,0
"울산광역시",울주군,12,344634,12,344634,0,0,0,0
"경기도",소계,252,134353987,134,7328680,114,124449724,4,2575583
"경기도",수원시,11,810772,11,810772,0,0,0,0
"경기도",성남시,1,1182870,0,0,1,1182870,0,0
"경기도",고양시,17,3848840,12,265087,5,3583753,0,0
"경기도",용인시,33,35417688,3,212158,28,33829144,2,1376386
"경기도",부천시,3,28200,2,19988,1,8212,0,0
"경기도",안산시,34,3739220,32,993562,2,2745658,0,0
"경기도",안양시,4,206083,4,206083,0,0,0,0
"경기도",남양주시,9,4475632,4,33925,5,4441707,0,0
"경기도",화성시,4,218730,4,218730,0,0,0,0
"경기도",평택시,9,561437,9,561437,0,0,0,0
"경기도",시흥시,1,656437,0,0,1,656437,0,0
"경기도",파주시,10,6746037,2,73633,8,6672404,0,0
"경기도",광명시,3,46800,3,46800,0,0,0,0
"경기도",김포시,3,936773,2,4090,1,932683,0,0
"경기도",군포시,1,889867,1,889867,0,0,0,0
"경기도",광주시,8,9742419,1,20753,7,9721666,0,0
"경기도",이천시,17,9401889,9,432282,7,8070370,1,899237
"경기도",양주시,8,2375629,7,592241,1,1783388,0,0
"경기도",오산시,1,3022,1,3022,0,0,0,0
"경기도",안성시,16,15448999,2,26358,14,15422641,0,0
"경기도",포천시,4,1907070,2,56372,2,1850698,0,0
"경기도",의왕시,2,8700,2,8700,0,0,0,0
"경기도",하남시,4,23050,4,23050,0,0,0,0
"경기도",여주군,24,24643171,1,102146,23,24541025,0,0
"경기도",양평군,8,213608,8,213608,0,0,0,0
"경기도",동두천시,3,1280740,2,22150,1,1258590,0,0
"경기도",과천시,2,1052787,2,1052787,0,0,0,0
"경기도",가평군,11,8260045,4,439079,6,7521006,1,299960
"경기도",연천군,1,227472,0,0,1,227472,0,0
"강원도",소계,64,29362210,36,1425255,28,27936955,0,0
"강원도",춘천시,11,8696786,4,9984,7,8686802,0,0
"강원도",원주시,6,6249996,0,0,6,6249996,0,0
"강원도",강릉시,5,1961722,0,0,5,1961722,0,0
"강원도",동해시,3,2251524,1,22466,2,2229058,0,0
"강원도",속초시,3,323495,2,85495,1,238000,0,0
"강원도",삼척시,1,979681,0,0,1,979681,0,0
"강원도",홍천군,14,6973693,9,273228,5,6700465,0,0
"강원도",횡성군,3,210277,3,210277,0,0,0,0
"강원도",영월군,1,80660,1,80660,0,0,0,0
"강원도",평창군,4,145531,4,145531,0,0,0,0
"강원도",정선군,1,4140,1,4140,0,0,0,0
"강원도",철원군,3,1013645,2,122414,1,891231,0,0
"강원도",화천군,1,32183,1,32183,0,0,0,0
"강원도",양구군,1,29950,1,29950,0,0,0,0
"강원도",인제군,5,266844,5,266844,0,0,0,0
"강원도",고성군,1,37092,1,37092,0,0,0,0
"강원도",양양군,1,104991,1,104991,0,0,0,0
"충청북도",소계,50,32253563,28,11888229,22,20365334,0,0
"충청북도",충주시,12,11343339,12,11343339,0,0,0,0
"충청북도",제천시,7,1791453,5,175417,2,1616036,0,0
"충청북도",청원군,13,7373359,4,166833,9,7206526,0,0
"충청북도",보은군,2,1753716,0,0,2,1753716,0,0
"충청북도",옥천군,2,58757,2,58757,0,0,0,0
"충청북도",영동군,1,445690,0,0,1,445690,0,0
"충청북도",괴산군,3,81635,3,81635,0,0,0,0
"충청북도",음성군,6,8363454,0,0,6,8363454,0,0
"충청북도",단양군,3,982248,2,62248,1,920000,0,0
"충청북도",증평군,1,59912,0,0,1,59912,0,0
"충청남도",소계,42,21586980,15,2464019,27,19122961,0,0
"충청남도",천안시,8,5453983,3,257783,5,5196200,0,0
"충청남도",공주시,3,908614,0,0,3,908614,0,0
"충청남도",아산시,5,2656724,0,0,5,2656724,0,0
"충청남도",서산시,1,957071,0,0,1,957071,0,0
"충청남도",논산시,2,1204833,2,1204833,0,0,0,0
"충청남도",계룡시,1,983668,0,0,1,983668,0,0
"충청남도",당진군,5,2216091,1,19685,4,2196406,0,0
"충청남도",부여군,1,976991,0,0,1,976991,0,0
"충청남도",서천군,1,98374,1,98374,0,0,0,0
"충청남도",청양군,2,243444,2,243444,0,0,0,0
"충청남도",홍성군,2,31893,2,31893,0,0,0,0
"충청남도",예산군,3,511546,3,511546,0,0,0,0
"충청남도",태안군,8,5343748,1,96461,7,5247287,0,0
"전라북도",소계,47,18171860,29,2028591,18,16143269,0,0
"전라북도",전주시,4,360414,3,203563,1,156851,0,0
"전라북도",군산시,3,4306364,0,0,3,4306364,0,0
"전라북도",익산시,4,188216,4,188216,0,0,0,0
"전라북도",정읍시,1,12937,1,12937,0,0,0,0
"전라북도",남원시,5,4166730,1,57875,4,4108855,0,0
"전라북도",김제시,1,553970,0,0,1,553970,0,0
"전라북도",완주군,9,857468,7,174933,2,682535,0,0
"전라북도",진안군,1,1404400,0,0,1,1404400,0,0
"전라북도",무주군,5,971558,4,74853,1,896705,0,0
"전라북도",장수군,3,210860,3,210860,0,0,0,0
"전라북도",임실군,4,2204132,3,656132,1,1548000,0,0
"전라북도",순창군,3,389070,2,191102,1,197968,0,0
"전라북도",고창군,3,2287621,0,0,3,2287621,0,0
"전라북도",부안군,1,258120,1,258120,0,0,0,0
"전라남도",소계,74,37479339,40,6772278,34,30707061,0,0
"전라남도",목포시,3,273434,3,273434,0,0,0,0
"전라남도",여수시,4,1109451,2,34029,2,1075422,0,0
"전라남도",순천시,4,2844920,2,874845,2,1970075,0,0
"전라남도",나주시,4,2708654,0,0,4,2708654,0,0
"전라남도",광양시,7,210875,7,210875,0,0,0,0
"전라남도",담양군,3,1975001,0,0,3,1975001,0,0
"전라남도",곡성군,6,1347443,4,114880,2,1232563,0,0
"전라남도",구례군,2,1653804,1,179034,1,1474770,0,0
"전라남도",고흥군,3,210111,3,210111,0,0,0,0
"전라남도",보성군,3,1251988,1,29781,2,1222207,0,0
"전라남도",화순군,6,7343518,1,147714,5,7195804,0,0
"전라남도",장흥군,2,2342907,0,0,2,2342907,0,0
"전라남도",강진군,3,1631433,2,152292,1,1479141,0,0
"전라남도",영암군,4,3240007,3,2991403,1,248604,0,0
"전라남도",무안군,5,1599942,3,48379,2,1551563,0,0
"전라남도",함평군,4,3302989,1,58800,3,3244189,0,0
"전라남도",영광군,2,1374998,0,0,2,1374998,0,0
"전라남도",장성군,2,1611163,0,0,2,1611163,0,0
"전라남도",완도군,3,218043,3,218043,0,0,0,0
"전라남도",진도군,1,15833,1,15833,0,0,0,0
"전라남도",신안군,3,1212825,3,1212825,0,0,0,0
"경상북도",소계,74,45302433,29,2439424,45,42863009,0,0
"경상북도",포항시,9,3411145,5,308775,4,3102370,0,0
"경상북도",경주시,8,10192758,1,25630,7,10167128,0,0
"경상북도",김천시,2,559330,0,0,2,559330,0,0
"경상북도",안동시,3,2097293,1,33079,2,2064214,0,0
"경상북도",구미시,9,3064436,7,317549,2,2746887,0,0
"경상북도",영주시,1,1083828,1,1083828,0,0,0,0
"경상북도",영천시,5,4001504,0,0,5,4001504,0,0
"경상북도",상주시,3,2285008,1,156635,2,2128373,0,0
"경상북도",문경시,2,57847,2,57847,0,0,0,0
"경상북도",경산시,4,2902434,1,2192,3,2900242,0,0
"경상북도",군위군,5,4698827,1,20698,4,4678129,0,0
"경상북도",의성군,2,2434192,0,0,2,2434192,0,0
"경상북도",청송군,1,46124,1,46124,0,0,0,0
"경상북도",영양군,1,1334740,0,0,1,1334740,0,0
"경상북도",영덕군,3,1554195,2,126795,1,1427400,0,0
"경상북도",청도군,1,73840,1,73840,0,0,0,0
"경상북도",고령군,1,385623,0,0,1,385623,0,0
"경상북도",성주군,2,21082,2,21082,0,0,0,0
"경상북도",칠곡군,8,3052196,1,83700,7,2968496,0,0
"경상북도",예천군,1,1000226,0,0,1,1000226,0,0
"경상북도",봉화군,1,964155,0,0,1,964155,0,0
"경상북도",울진군,2,81650,2,81650,0,0,0,0
"경상남도",소계,96,40608800,62,3291199,34,37317601,0,0
"경상남도",창원시,11,3026385,9,276523,2,2749862,0,0
"경상남도",진주시,1,47160,1,47160,0,0,0,0
"경상남도",통영시,3,321494,3,321494,0,0,0,0
"경상남도",사천시,5,3645732,3,423408,2,3222324,0,0
"경상남도",김해시,15,9560636,10,502272,5,9058364,0,0
"경상남도",밀양시,3,2719386,0,0,3,2719386,0,0
"경상남도",거제시,5,143636,5,143636,0,0,0,0
"경상남도",양산시,11,7207524,3,157445,8,7050079,0,0
"경상남도",의령군,11,3409788,7,292260,4,3117528,0,0
"경상남도",함안군,4,943192,3,156762,1,786430,0,0
"경상남도",창녕군,6,3206391,4,284730,2,2921661,0,0
"경상남도",고성군,5,1886813,2,41465,3,1845348,0,0
"경상남도",남해군,4,361791,4,361791,0,0,0,0
"경상남도",하동군,2,68396,2,68396,0,0,0,0
"경상남도",산청군,2,25483,2,25483,0,0,0,0
"경상남도",함양군,2,114499,1,83745,1,30754,0,0
"경상남도",거창군,2,2416433,0,0,2,2416433,0,0
"경상남도",합천군,4,1504061,3,104629,1,1399432,0,0
"제주특별자치도",소계,25,13433573,14,821168,11,12612405,0,0
"제주특별자치도",제주시,12,6487736,6,255943,6,6231793,0,0
"제주특별자치도",서귀포시,13,6945837,8,565225,5,6380612,0,0
